## jsm_assets2.obj_new
Table	Non_unique	Key_name	Seq_in_index	Column_name	Collation	Cardinality	Sub_part	Packed	Null	Index_type	Comment	Index_comment	Visible	Expression	Clustered	Global
obj_new	1	idx_fts_text_value_70	1	text_value_70	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_71	1	text_value_71	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_72	1	text_value_72	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_73	1	text_value_73	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_74	1	text_value_74	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_75	1	text_value_75	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_76	1	text_value_76	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_77	1	text_value_77	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_78	1	text_value_78	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_79	1	text_value_79	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_8	1	text_value_8	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_80	1	text_value_80	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_81	1	text_value_81	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_82	1	text_value_82	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_83	1	text_value_83	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_84	1	text_value_84	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_85	1	text_value_85	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_86	1	text_value_86	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_87	1	text_value_87	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_88	1	text_value_88	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_89	1	text_value_89	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_9	1	text_value_9	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_90	1	text_value_90	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_91	1	text_value_91	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_92	1	text_value_92	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_93	1	text_value_93	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_94	1	text_value_94	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_95	1	text_value_95	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_96	1	text_value_96	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_97	1	text_value_97	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_98	1	text_value_98	A	0	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
obj_new	1	idx_fts_text_value_99	1	text_value_99	A	1	NULL	NULL	YES	FULLTEXT			YES	NULL	NO	NO
